uuid;name;id;p_f_tot;p_m_tot
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;50.05;49.95
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;59.82;40.18
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;48.22;51.78
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;56.8;43.2
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;55.94;44.06
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;64.84;35.16
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;53.33;46.67
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;56.61;43.39
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;49.84;50.16
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;55.21;44.79
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;57.25;42.75
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;52.58;47.42
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;51.65;48.35
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;51.09;48.91
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;55.3;44.7
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;55.63;44.37
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;55.68;44.32
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;61.22;38.78
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;54.02;45.98
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;60.7;39.3
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;57.62;42.38
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;61.53;38.47
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;48.53;51.47
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;64.17;35.83
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;59.94;40.06
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;57.24;42.76
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;52.74;47.26
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;40.08;59.92
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;61.1;38.9
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;55.98;44.02
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;53.08;46.92
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;66.51;33.49
d00339ba-c6d2-4830-acd1-b9cbe9b6be22;Nassica - Parque Comercial y de Ocio;60;54.83;45.17
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;56.19;43.81
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;53.94;46.06
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;55.08;44.92
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;59.93;40.07
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;61.06;38.94
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;62.43;37.57
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;61.99;38.01
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;58.56;41.44
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;60.37;39.63
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;58.41;41.59
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;59.7;40.3
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;56.41;43.59
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;54.64;45.36
